Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
100,43.24695378,35.16182431,26.90815857,61.41246437,21.3614552,28.02125824,14.92264359,21.60114243,18.46909656,31.96928816,11.14516164,25.33117273,20.12023458,30.99828173,13.70879061,24.9858187,17.59463474,21.66064982,10.55190248,16.9992941,55.03432936,17.15006685,19.51949468,19.40374909,100,43.56648879,36.00167961,27.01878937,62.4670847,23.48708996,25.73952269,16.80369853,19.15916412,20.07201099,30.20792485,13.73688411,24.42147547,23.11765689,30.28761426,15.5033541,23.25132901,20.81317212,19.10516918,12.55829539,14.51689268,55.27868044,18.55658073,20.34464842,21.64050591,100,45.27957798,36.40118207,27.37331536,63.52749945,21.92505363,27.13324933,14.96079367,20.05484809,19.6734765,32.03362501,10.78838174,23.60408739,21.27137862,31.25007533,13.68665768,24.12355494,20.20878948,20.76347884,12.47576463,15.59194542,56.11946909,16.92620585,21.01076996,20.07201099,100,40.40455088,33.71131216,25.68076704,58.99203339,20.4977345,24.79673793,15.01452719,19.57210739,16.7132296,29.17747853,11.23996883,24.03723113,19.51279783,28.53481245,13.72393147,22.95190839,17.39290447,18.2862548,10.76593759,14.30290364,51.95052959,18.5224194,18.66268373,18.15904452,100,41.32156396,34.35467777,25.5894841,59.65557309,22.22893527,26.07872198,14.63767437,18.44044115,18.39141907,30.69052047,10.77769123,23.14419533,20.88892478,29.97622822,12.53335487,21.84659091,17.72484043,19.39487975,10.97140079,14.98309381,52.4623431,17.34730782,19.01885287,18.76398235,100,40.75620735,33.53770043,25.71633876,58.94664866,21.84520615,25.17535616,14.70500442,18.20783896,18.06552627,29.23395799,11.56038891,23.17034011,20.68539879,28.38785946,13.22648379,21.25972258,17.28674979,18.93365647,10.84354822,15.6130931,51.06333787,17.68042643,18.73571172,17.95405876,A
100,52.75979565,43.21865856,31.51877262,73.77817812,28.19711005,11.57109797,9.271152675,9.091113155,27.69434203,31.51877262,12.1970082,16.71380818,30.09693986,29.6821712,14.65897949,15.90295304,24.83055788,19.45583177,14.37431202,13.66693985,39.60638159,35.11571171,25.25955606,27.48464686,100,50.60620182,44.20630985,30.23221278,73.5176153,30.03032596,21.28829264,13.33907242,3.899713479,27.71267117,33.86244967,9.391753738,16.03156986,29.64808307,29.62242484,15.59885392,16.22018305,24.29117721,19.88471513,13.78756923,14.84966652,51.63255991,23.72103103,24.93987966,25.42302149,100,52.59711596,46.22997812,32.13802794,77.75706801,32.31061545,27.21168933,17.51221983,11.9586953,28.8003521,34.61371541,12.41504828,18.90835749,30.69657295,30.27962221,15.94492707,16.81793025,25.98705172,20.32587356,14.37256303,13.39990648,63.44247842,22.72501749,24.47559289,27.53098408,100,49.89020884,42.67559319,34.2309819,76.07108594,31.3096798,14.11108199,16.60446518,1.75026431,31.3096798,28.89261765,18.39859993,16.13663962,30.94059406,24.75247525,20.41141399,15.30856049,25.51426749,17.5026431,16.27839906,14.00211448,49.03864544,28.57276332,22.8206546,25.84234284,100,50.30266914,44.20365824,34.11787131,77.88322028,32.47847344,14.16667497,14.16667497,4.568615402,31.29520789,29.58088578,17.64874338,16.47237709,31.29520789,25.37377648,18.83688387,14.44723042,24.95909225,16.52104005,15.41500895,12.54370874,46.72855782,30.85604577,24.89468158,26.45794858,100,49.64501459,45.47531122,30.62905614,75.04506373,27.18631146,24.67466496,13.08571719,9.976060067,25.43406247,35.82650108,6.048874909,15.77353594,27.18631146,31.54707189,10.82055639,15.91210554,22.20851651,20.60172558,11.91490177,14.10827945,55.66279734,24.31617619,23.11271858,27.29376766,A
100,42.93600666,36.89913239,28.25150683,65.00374987,25.84255831,26.11915439,15.32153078,15.78358995,23.2053046,34.18999451,15.4770833,26.11915439,24.95604695,32.53870427,16.29142226,23.57399095,21.01694455,21.73414576,11.45722388,16.29142226,58.40420474,23.67538493,19.96483756,19.699111,100,42.93600666,36.37608492,28.98804404,65.00374987,25.84255831,25.9166059,15.32153078,15.69226658,23.2053046,35.14354556,12.76272985,24.78267209,24.07669122,32.53870427,14.11727203,22.53497344,21.01694455,20.76468621,11.16068349,16.05444349,56.40966928,23.67538493,20.9255661,19.2812408,100,42.85211005,36.62485864,28.48339501,64.78528083,25.39266862,26.60251358,14.2010417,15.50881552,21.95385632,33.82803769,11.74045938,23.57920683,24.52159043,31.87081182,13.8715063,21.15994999,21.50685753,20.56127568,10.96638862,15.65722862,56.03351607,23.10361094,19.45152295,18.94557623,100,43.36798151,36.85716624,29.45001755,66.19172602,25.30307131,24.99306792,15.03607721,14.84037155,22.5325019,34.26763072,16.42973048,28.07791244,23.40230916,32.81494598,15.0684477,24.69890623,20.32700916,22.89716388,11.25543361,18.62582652,57.05960915,26.34089647,20.35096558,19.44493149,100,44.31962186,38.17541112,28.98804404,66.86386593,24.95604695,27.30290854,13.59871181,15.93463253,21.01694455,36.09845128,10.4053894,24.95604695,24.07669122,34.60781036,11.94846869,22.53497344,18.82868448,21.73414576,9.286249981,16.29142226,58.40420474,22.59866167,20.76468621,19.2812408,100,42.51902588,37.18180951,27.30064079,64.21704307,25.16994715,25.4393442,15.37278625,15.5198976,21.761297,34.22885513,14.30069597,26.36918045,24.30650926,32.63846462,15.07425713,22.9604244,19.63129019,21.16846536,10.8702014,17.18729753,56.88410293,23.05917937,19.44520741,17.9123789,A
100,61.94984402,49.54380956,31.33425643,79.8869925,28.27366182,37.07966529,13.93001137,22.82040586,23.67646659,46.87771983,5.151320026,28.3615139,21.85519993,41.71058529,9.106333306,32.29861224,18.30350342,28.33226014,6.439150032,22.49098416,73.05527162,23.3235934,25.88506277,27.07507539,100,61.02237173,49.23265569,34.09803749,82.75054371,30.27244618,36.945327,17.29231407,23.90949122,25.47662163,45.36506996,7.502459217,29.20784555,22.58539306,42.77059813,10.35842132,33.26243025,18.8496955,27.85145889,8.492207211,24.38299245,77.10579233,22.70191349,26.55833474,27.34154924,100,62.31750697,49.39539062,31.97247059,80.28683506,29.52983581,39.06982588,14.98259429,24.54867502,25.10508959,49.09735005,5.256241787,28.93917943,22.30034527,45.15858154,7.662223252,32.95646834,17.87315441,28.90932983,6.570302234,24.15870737,74.54325679,23.79864688,26.31403994,27.0900501,100,60.77561278,47.72536007,33.14064418,79.89787787,31.43997562,37.89777652,16.9484009,23.43397423,24.83423005,46.06797126,7.000084242,28.71535426,21.16056232,42.10096124,9.191560915,32.52306253,19.3241502,28.59742623,8.323312411,22.21241062,75.57229613,23.54188259,24.73196099,27.32847529,100,60.77561278,48.25350629,31.86702372,79.42061807,29.67038141,38.6483004,12.99883011,21.7900099,23.89805838,48.56763731,5.359554953,28.62695378,21.16056232,43.38572538,7.579555303,32.60090005,17.68032043,28.59742623,5.813253549,22.70148082,71.90597523,23.54188259,26.12732516,27.32847529,100,62.83281852,49.71550358,32.42335848,81.29273567,31.35370875,38.08009535,16.14410212,22.60019507,25.4058626,46.87222628,6.612881894,29.21666715,22.52266415,44.14315373,9.352027261,33.09085043,18.79734216,27.89977927,7.711879242,23.84308475,75.895605,23.84308475,26.48457135,27.80557604,A
100,56.76645648,46.1002415,32.90974109,78.9471489,34.22102323,32.13642331,16.05597853,13.50342228,31.3440321,45.20500596,17.73086212,31.3440321,29.58982879,45.30920511,18.63850144,33.45452373,26.83166319,31.44417303,14.29507805,21.89599949,71.85922709,30.73633569,25.35575278,23.11821579,100,54.6516626,45.16463733,33.54824824,78.45532764,34.61859953,32.39471717,17.30929976,15.41155853,30.41753206,44.19174645,16.76255177,30.34088129,29.72055929,43.82134412,17.62040322,30.82311706,27.66459421,29.9287619,13.47701698,20.12894894,71.49846367,30.1355261,23.96633947,22.97419501,100,51.98765523,44.66346456,33.54824824,78.02874813,35.10840469,31.52033551,17.30929976,13.93015187,29.72055929,43.75043575,19.46237148,33.10573201,29.06031346,43.51918564,18.52238817,32.03329213,27.99925873,29.90281585,14.53015673,20.12894894,69.73985532,33.2461103,22.97419501,22.97419501,100,56.41281546,47.44438765,33.2461103,80.38071825,35.10840469,33.54824824,15.95595374,13.93015187,29.40549146,45.35328862,16.76255177,32.70472153,28.68393828,45.02693994,17.62040322,33.2461103,25.22857804,29.9287619,14.53015673,21.75959282,70.5696599,30.82311706,23.96633947,22.97419501,100,54.89009999,46.86629604,34.32941706,80.96927608,34.68062229,32.7023514,16.7402714,14.40578451,29.3584257,44.3760157,15.66513484,29.97118932,28.70622471,43.93001427,17.40570538,31.37858162,24.92117752,30.76923077,13.31280471,21.80928633,71.4482475,29.94590784,23.51381314,22.89363106,100,53.18531553,45.45644685,30.69108304,75.88499499,33.63734703,30.59807955,17.21643202,13.97242439,28.47525473,42.65863289,16.88210054,30.19961953,27.84267349,41.69571254,17.74629193,30.69108304,25.18207367,28.64987466,13.92133674,20.0108089,68.50264646,29.04506401,22.96213926,22.01156609,A
100,55.21607176,45.13704319,31.18499696,76.06553849,31.7126217,33.82613295,16.11580524,18.37484509,26.67099497,40.78781224,6.006006006,21.65496262,23.07432158,38.73757477,8.661985046,28.0423244,22.66421894,25.3393671,8.057902622,17.07227676,67.36372321,21.75467901,25.67874874,28.47632334,100,55.00762267,43.20716499,30.58613333,73.50837648,31.10362578,34.64995563,14.76197465,18.28955549,23.56267672,38.59175154,6.869641723,22.38454288,21.72371456,36.82492839,7.903162032,27.72997713,21.23910978,23.59211168,7.903162032,16.02435263,67.60681779,21.33691126,23.8262823,30.0366371,100,54.09836382,44.73714913,31.68862426,76.05269823,32.14428689,33.14140953,15.78958205,16.85044258,26.13110899,39.96216746,6.862365417,21.18394728,23.5377192,36.78592352,11.10271994,27.29766625,21.89134428,22.3917825,7.894791023,15.83338125,67.65814924,22.48437469,25.15894825,29.066939,100,54.37976953,43.76495278,30.57163929,74.18423452,31.36014912,34.25446348,15.62591179,18.41531365,25.19602568,40.6807575,5.823433496,22.12904729,20.99668807,37.56001746,9.390004366,28.04937009,20.37369635,24.56909284,7.812955896,16.79735046,67.71228443,19.93622498,25.86024145,28.1700131,100,56.00152703,46.49992384,32.12660558,78.36228288,33.3199159,36.0356881,16.60241043,19.21070993,27.47630654,42.01937098,7.000190879,23.54448409,23.01828392,38.54080312,9.976807014,28.88904227,23.34854877,24.78032966,9.424295391,16.83142001,72.09262054,22.41154594,26.2507158,30.43775245,100,58.0370296,46.02717841,30.622244,76.42566139,32.98116614,36.02508861,14.80039928,17.83466411,26.49841702,43.97678361,5.477873536,23.27290544,23.11117377,41.93347077,7.142273267,28.41110609,20.38622854,25.75183249,8.216810304,18.08528057,69.48483392,22.08201418,25.98383566,29.60079856,A
100,46.35911824,39.00685526,31.46722566,70.05810653,26.37022813,28.30517877,19.07201884,21.16930641,23.58624908,36.55267033,18.75779605,31.74927994,25.10000967,34.23532156,19.50342763,30.52769298,24.88598389,22.47658976,16.67799666,21.64133585,68.65268858,26.25729302,17.74838704,19.41179003,100,46.35911824,39.98499961,31.46722566,71.07721768,25.84664106,28.61841419,18.14578824,20.6865089,22.99937103,36.55267033,19.65520756,33.10559627,25.42935846,34.23532156,20.48440278,30.54715597,24.50087773,22.23732889,15.41881337,22.37056752,70.19371392,26.37022813,17.74838704,20.04445738,100,45.96819811,40.17492795,30.95745095,70.76747178,26.14786297,28.72503839,19.84601054,22.57363569,21.89022349,36.58145798,20.99079766,35.56083071,23.38735962,34.13546682,20.7950098,32.5941912,24.29427573,22.9331929,15.47872547,21.62162162,70.47786384,27.22092608,17.59872497,19.87543385,100,45.16021313,39.7508677,30.15421769,69.74439402,26.14786297,28.37709135,18.37837838,20.99079766,23.38735962,37.60546407,19.48946635,33.86045354,24.88835553,35.19744994,19.84601054,31.42582022,24.88835553,22.9331929,15.47872547,22.28705744,68.1424195,27.37078681,18.8802694,19.12627677,100,45.59894897,39.56897492,31.50500969,70.78481754,25.45989257,28.65277753,19.09491942,22.50357835,22.71438931,37.97080478,19.6788084,35.23635496,23.61457008,35.35451313,20.03881645,32.82020823,23.61457008,23.33539824,15.62910279,23.36091536,70.34578533,27.48538001,17.76969828,19.3120904,100,46.00065758,39.91756186,31.7825563,71.40840364,27.08594621,28.90519711,18.72040524,20.57211947,23.22984595,38.30531248,18.32762579,33.4373449,24.74639913,35.85248452,19.69886997,32.0106637,24.74639913,23.35998616,15.76678897,22.02400617,69.41056936,27.72751528,19.00966469,20.3051304,A
100,57.58616151,47.81426411,32.7905178,80.59158584,32.69519632,34.5516969,14.24329076,16.76003481,24.54326384,42.93026928,1.249219238,19.98750781,24.54326384,39.9945299,7.598703973,24.02921182,20.60265147,25.10899593,6.369793271,12.86149924,69.10339381,21.27343706,25.26389559,29.69360231,100,54.90813296,45.95220625,32.17566059,78.1225048,29.46361119,33.49313801,14.17377078,18.44459459,22.97610313,42.81344037,1.712537615,21.79704529,21.45803481,38.75030274,6.174642182,24.69856873,18.00202076,24.33973267,6.054734803,15.78881668,67.78058595,20.62168366,23.1351092,28.34754156,100,57.58616151,48.25286175,32.7905178,81.00683491,31.84896636,33.98243725,14.24329076,16.76003481,25.29476169,43.12973517,2.793339135,21.23672705,23.70226853,39.9945299,7.598703973,25.47917308,19.75189044,23.76801698,7.495315428,14.56827457,69.92280809,21.23672705,23.86630003,29.69360231,100,55.31947952,45.93221939,32.64483501,78.55503588,29.41953839,33.47252054,13.68265241,17.8399961,21.63417302,42.428104,2.683388909,22.83247041,22.06261408,38.42028224,7.589769975,25.65409616,19.3873688,24.12066632,7.589769975,15.03655837,68.22354688,21.63417302,22.92688488,28.52481537,100,52.37798152,45.72001656,32.99325775,78.64884336,30.00440722,33.82977727,13.06286187,16.89313314,23.42414544,41.87429109,3.430475591,21.86507747,22.29809134,37.61810168,8.829726973,25.92790579,19.59429281,24.37810945,6.531430936,14.14421321,65.38184098,21.86507747,22.13255014,30.41828066,100,53.83701033,45.51167469,32.34594651,77.83580428,29.15017996,33.16605394,12.80657505,17.02475751,21.86061392,41.05273841,2.378121284,20.24897309,20.31867716,38.06851509,6.063043417,25.41921323,17.02475751,22.62342163,6.063043417,14.89888714,65.77558471,21.53480413,21.69832056,29.36763147,A
100,55.06449514,45.05163362,29.26453763,73.96048565,31.34720837,32.71874774,16.98112974,18.34733842,25.94705482,40.20316164,18.2458777,32.10784223,25.94705482,39.33178224,19.46029112,33.44820643,25.94705482,26.79184465,15.49492522,21.39880305,72.98351081,27.27255684,21.16620046,22.82599236,100,50.30944039,42.9994834,28.11255531,70.88635265,29.44452033,28.88398919,16.20762107,15.45999127,24.23595713,38.37186451,17.67181671,31.67643638,24.69675802,37.4047886,18.99399429,31.92460475,24.23595713,23.45585266,15.20261315,20.03393742,67.98815287,26.54491399,20.20205733,22.52410643,100,53.26437244,42.80901987,29.12709107,71.82920588,30.27054825,28.65277753,15.74304672,13.80756538,26.96013325,38.39210871,17.90330692,29.12709107,26.84941355,37.5130232,17.60126132,28.46502524,25.87767622,24.11387625,14.84714606,18.16757666,68.20434167,27.00429402,20.99703533,23.2073918,100,52.33225652,43.77775014,29.42462541,72.87543136,30.19503387,30.85336487,15.4545704,15.93020654,24.99336432,39.006161,15.4545704,29.63848411,26.85375929,39.10906042,17.27873499,30.08073049,25.40349248,25.80710368,14.57508627,19.67162425,70.12108079,24.17598408,21.53852469,22.09122174,100,51.29887678,41.89415232,28.05227936,69.89390302,29.6236392,25.96528393,14.29927514,10.35413983,25.96528393,37.25829509,17.49717933,29.07762129,25.42764218,36.29662847,16.95176146,28.46296546,25.42764218,24.27122872,13.29805576,18.08731133,64.20702895,26.94702611,21.26129985,22.30151749,100,50.35423955,42.31229315,28.33226601,70.59150622,29.44452033,28.88398919,14.44199459,13.43078216,25.68143262,38.37186451,16.7884777,29.36784176,24.23595713,36.48936139,18.05054152,30.86524072,25.17152175,23.57570961,14.16613301,18.90475028,66.49593677,26.54491399,20.20205733,21.78624393,A
100,50.72919816,40.87060162,32.12303034,72.93980292,29.74562366,30.57730072,14.32611625,15.10105245,25.3139767,37.75263114,6.226323433,18.18407514,20.53965196,35.23758676,7.700056114,24.09079375,18.64842413,21.77904758,5.750309458,13.59094721,61.72064503,22.52538506,23.32122762,26.78042969,100,51.04803316,42.58351011,32.11288243,74.55369029,27.98708288,30.82415729,14.44177381,17.35685199,25.10635907,39.2858721,7.220886903,20.45209903,19.40555046,36.598493,8.407157886,26.1905814,16.14639397,22.70723693,6.08918649,15.89324334,63.72770771,23.77903341,23.50950449,27.59097011,100,49.52840958,39.71867952,29.67788111,69.26196039,26.73521851,29.44539036,14.72269518,17.60127791,22.24504643,36.51471651,6.897896075,20.5655527,18.53753869,33.94873834,7.415015477,25.20853609,16.58047866,21.98206512,4.598597383,15.28644601,61.50785163,21.69154047,21.19848651,24.84945187,100,50.84533753,41.11847094,28.27454632,69.35952862,27.98651287,29.99868972,13.94492035,15.89965548,22.81935183,36.90942917,5.597302575,18.7090739,18.18195165,33.26057582,7.495169474,24.46440556,16.75970845,21.19954064,5.299885161,16.16916036,62.82096762,20.89154063,21.70316289,25.11806667,100,48.85130497,40.10282776,29.26529454,69.3229976,26.35682389,29.44539036,13.79579215,16.73914714,22.57531969,36.51471651,6.584189447,20.5655527,18.87666812,33.93316195,8.845578681,25.01907467,17.48071979,20.79562819,5.537444532,13.83406072,61.35294145,21.61829927,22.19746339,25.29228561,100,51.04803316,42.58351011,31.06753432,73.52866031,28.41846885,32.11288243,14.95419159,18.58199839,24.54629548,39.2858721,7.611483113,20.48040645,18.51953771,35.52206674,7.762220184,25.12942418,16.81431577,22.83444934,5.382131324,16.14639397,64.38792865,22.83444934,23.23684946,25.58636022,A
