Distances,Read 1
Dist 0,100.0
Dist 1,57.621843565004745
Dist 2,44.612698827284795
Dist 3,30.46987197647419
Dist 4,73.96596477261458
Dist 5,24.315305187453184
Dist 6,37.010671665196
Dist 7,8.24039505070754
Dist 8,18.39428695087643
Dist 9,24.194632952821788
Dist 10,45.004618790489985
Dist 11,7.877201784549358
Dist 12,15.18683060768037
Dist 13,24.673781110130662
Dist 14,40.03462454014282
Dist 15,4.838926590564357
Dist 16,14.231710060556052
Dist 17,12.664682872451445
Dist 18,25.467652663795324
Dist 19,3.2460506383899586
Dist 20,14.516779771693072
Dist 21,60.63157639524735
Dist 22,18.89661241784568
Dist 23,24.909899227918928
Dist 24,20.558320709803073
Dist 25,42.42002982885232
Dist 26,62.006270425857615
Dist 27,86.39889538055455
Dist 28,110.18523798399451
Dist 29,36.03294915677713
Dist 30,27.543653021765532
Dist 31,48.63061037490637
Dist 32,72.17952858756944
Dist 33,53.44769112845041
Dist 34,29.553127642821167
Dist 35,30.005246967890166
Dist 36,53.28315192488695
Dist 37,75.35375609816121
Dist 38,53.53523859274175
Dist 39,28.810921782502373
Dist 40,30.005246967890166
Dist 41,94.82938158236522
Dist 42,73.64871705363183
Dist 43,47.23843313772575
Dist 44,23.15617242916327
