Distances,Read 1
Dist 0,100.0
Dist 1,49.61558020043646
Dist 2,37.60091710228347
Dist 3,31.252511452093227
Dist 4,68.69068810693157
Dist 5,19.152003724514323
Dist 6,35.40797802424545
Dist 7,7.5897020259874095
Dist 8,21.721902846214352
Dist 9,16.387016856663468
Dist 10,41.36623111687847
Dist 11,9.064756375330052
Dist 12,20.988042799800056
Dist 13,14.049091138954209
Dist 14,36.31738547068359
Dist 15,5.893349505230418
Dist 16,19.415575802787842
Dist 17,6.508115795550368
Dist 18,23.947743821919353
Dist 19,4.601932811780948
Dist 20,16.668909596203253
Dist 21,63.898959807491146
Dist 22,17.87067449511974
Dist 23,19.415575802787842
Dist 24,18.082726833307408
